Project ID,Project Name,Project local script,Fuel type,Country/Area,Subnational unit,Production Type,Status,Status detail,Status year,Discovery year,FID Year,Production start year,Operator,Owner(s),Parent(s),Government unit ID,Units (list of IDs),Wiki URL (project),Name Other,Latitude,Longitude,Location accuracy,Project location type,Onshore/Offshore,Project outline (WKT),Basin,Block(s)
L100000312043,"Orenburgskoye Oil and Gas Project (Orenburg region, Russia)",Оренбургское,oil and gas,Russia,Orenburg region,conventional,operating,,2023,1966,,1974,Gazprom dobycha Orenburg,Gazprom dobycha Orenburg LLC [100%],Gazprom [100.0%],,"L100000312043, L100000312113","https://www.gem.wiki/Orenburgskoye_Oil_and_Gas_Project_(Orenburg_region,_Russia)",,51.0290000,55.0650000,exact,project level location,onshore,,Pre-Caspian,
L100000309197,Oritupano-Leona Oil and Gas Project (Venezuela),Oritupano-Leona,oil and gas,Venezuela,,,operating,,2018,,,,Petrokariña,Anadarko [18%]; Petróleos de Venezuela SA [60%]; Integra Oil and Gas SAS [22%],Petróleos de Venezuela SA [60.0%]; Integra Oil and Gas SAS [22.0%]; Occidental Petroleum Corp [18.0%],,"L100000305195, L100000305200, L100000309197",https://www.gem.wiki/Oritupano-Leona_Oil_and_Gas_Project_(Venezuela),,9.0319000,-63.5514000,exact,project level location,onshore,,Maturin,Oritupano-Leona
L100000317522,Paddavissie Fairway Oil and Gas Project (South Africa),,oil and gas,South Africa,,conventional,discovered,,2022,2022,,,TotalEnergies,CNR International (UK) Ltd [20%]; QatarEnergy [25%]; TotalEnergies SE [45%]; Main Street [10%],TotalEnergies SE [45.0%]; QatarEnergy [25.0%]; Africa Energy Corp [4.9%]; Canadian Natural Resources Ltd,,"L100000313107, L100000317522, L100000313108",https://www.gem.wiki/Paddavissie_Fairway_Oil_and_Gas_Project_(South_Africa),,-35.4540000,22.9390000,approximate,project level location,offshore,,Outeniqua,11B/12B
L100000317532,PAJ Oil and Gas Project (Angola),,oil and gas,Angola,,conventional,discovered,,2024,2005,,,Azule Energy Holdings,Other [4%]; China Petrochemical Corp [8%]; Equinor ASA [13%]; BP PLC [26%]; Sonangol EP [45%],Sonangol EP [45.0%]; BP PLC [26.7%]; Equinor ASA [13.3%]; China Petrochemical Corp [8.3%]; Other [4.7%],,L100000317532,https://www.gem.wiki/PAJ_Oil_and_Gas_Project_(Angola),Palas-Astraea-Juno,-6.1041000,10.6341000,approximate,project level location,offshore,,,Block 31
L100000305033,"Panna-Mukta Oil and Gas Project (Mahrashtra, India)",,oil and gas,India,Mahrashtra,conventional,operating,decline,2024,1976,,1994,Oil and Natural Gas Corporation,Oil and Natural Gas Corporation Ltd [100%],Oil and Natural Gas Corporation Ltd [100.0%],,L100000305033,"https://www.gem.wiki/Panna-Mukta_Oil_and_Gas_Project_(Mahrashtra,_India)",,19.4054000,71.9597000,exact,project level location,offshore,,,Panna-Mukta
L100000320344,"Parque das Baleias Oil and Gas Project (Espírito Santo, Brazil)",Parque das Baleias,oil and gas,Brazil,Espírito Santo,mixed,operating,,2023,,,,Petróleo Brasileiro,Petróleo Brasileiro SA [100%],Petróleo Brasileiro SA [100.0%],,"L100000300076, L100000302675, L100000302674, L100000300230, L100000320344, L100000300113, L100000300331, L100000300046","https://www.gem.wiki/Parque_das_Baleias_Oil_and_Gas_Project_(Espírito_Santo,_Brazil)",,-21.4100000,-40.1000000,approximate,project level location,offshore,,Campos,
L100001061661,Parsi-Paranj Redevelopment Oil Project (Iran),,oil,Iran,,conventional,operating,,2025,,,,Aghajari Oil and Gas Production,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],,"L100001061662, L100000312229",https://www.gem.wiki/Parsi-Paranj_Redevelopment_Oil_Project_(Iran),,31.0109,49.88685,approximate,location derived from fields,onshore,,,
L100000324238,Payara-Pacora Oil and Gas Project (Guyana),,oil and gas,Guyana,,conventional,operating,,2024,,,,ExxonMobil Guyana,CNOOC Petroleum Guyana Ltd [25%]; Hess Guyana Exploration Ltd [30%]; ExxonMobil Guyana Ltd [45%],Hess Corp [30.0%]; China National Offshore Oil Corp; Exxon Mobil Corp,,"L100000313082, L100000313087",https://www.gem.wiki/Payara-Pacora_Oil_and_Gas_Project_(Guyana),,8.2603055,-56.9821756,approximate,location derived from fields,offshore,,,Stabroek Block
L100000312807,Pazflor Oil Project (Angola),,oil,Angola,,conventional,operating,,2023,2008,2007,2011,TotalEnergies E&P Angola,Esso Exploration Angola (block 17) Ltd [20%]; Equinor ASA [23%]; TotalEnergies E&P Angola [40%]; Azule Energy Holdings Ltd [16%],TotalEnergies SE [40.0%]; Equinor ASA [23.3%]; Exxon Mobil Corp [20.0%]; BP PLC; Eni SpA,,"L100000312806, L100000312807, L100000312770, L100000312752, L100000312791, L100000312805",https://www.gem.wiki/Pazflor_Oil_Project_(Angola),,-7.5630000,12.1271000,approximate,project level location,offshore,,,Block 17
L100000309321,"Peace River Area 2 Area - Scheme 10557J Oil Sands Oil Project (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2020,,,,Canadian Natural Upgrading,,,,L100000309321,"https://www.gem.wiki/Peace_River_Area_2_Area_-_Scheme_10557J_Oil_Sands_Oil_Project_(Alberta,_Canada)",,56.3140000,-116.6050000,exact,project level location,onshore,,,
L100000309342,"Peace River Area 2 Area - Scheme 11060K Oil Sands Oil Project (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2020,,,,Obsidian Energy,,,,L100000309342,"https://www.gem.wiki/Peace_River_Area_2_Area_-_Scheme_11060K_Oil_Sands_Oil_Project_(Alberta,_Canada)",,56.1400000,-116.6720000,exact,project level location,onshore,,,
L100000309353,"Peace River Area 2 Area - Scheme 11306D Oil Sands Oil Project (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2020,,,,Baytex Energy,,,,L100000309353,"https://www.gem.wiki/Peace_River_Area_2_Area_-_Scheme_11306D_Oil_Sands_Oil_Project_(Alberta,_Canada)",,56.2560000,-116.8220000,exact,project level location,onshore,,,
L100000309511,"Peace River Area 2 Area - Scheme 8143FF Oil Sands Oil Project (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2020,,,,Canadian Natural Upgrading,,,,L100000309511,"https://www.gem.wiki/Peace_River_Area_2_Area_-_Scheme_8143FF_Oil_Sands_Oil_Project_(Alberta,_Canada)",,56.3580000,-116.7680000,exact,project level location,onshore,,,
L100000319537,"Phoenix Oil Project (Alaska, United States)",,oil,United States,Alaska,unconventional,in-development,,2025,,2025,,88 Energy,88 Energy [75%],88 Energy [75.2%],,,"https://www.gem.wiki/Phoenix_Oil_Project_(Alaska,_United_States)",Icewine East,69.8886000,-148.8035000,approximate,project level location,onshore,,,North Slope
L100000320989,"Pike 1 Oil Project (Alberta, Canada)",,oil,Canada,Alberta,unconventional,in-development,,2024,,2023,,Canadian Natural Resources,BP PLC [50%]; Canadian Natural Resources Ltd [50%],BP PLC [50.0%]; Canadian Natural Resources Ltd [50.0%],,,"https://www.gem.wiki/Pike_1_Oil_Project_(Alberta,_Canada)",,55.4415000,-110.8290000,approximate,project level location,onshore,,,
L100001055776,Pit-Baksha Oil and Gas Project (Mexico),,oil and gas,Mexico,,conventional,in-development,,2023,,,,Petróleos Mexicanos,Petróleos Mexicanos EPE,Petróleos Mexicanos EPE,,L100000302690,https://www.gem.wiki/Pit-Baksha_Oil_and_Gas_Project_(Mexico),,19.8023,-92.3413,approximate,location derived from fields,offshore,,Sureste,
L100000312792,Platina Oil Project (Angola),,oil,Angola,,conventional,operating,,2024,1999,,2021,BP Angola,Sonangol Sinopec International Ltd [54%]; BP PLC [46%],BP PLC [46.0%]; China Petroleum & Chemical Corp [29.7%]; China Sonangol International Holding Ltd [24.3%],,,https://www.gem.wiki/Platina_Oil_Project_(Angola),,-7.7701000,11.8852000,exact,project level location,offshore,,,Block 18
L100000324536,"Pluto LNG Gas Project (Western Australia, Australia)",,gas,Australia,Western Australia,conventional,operating,,2024,,,,Woodside Energy,,,,L100000310157,"https://www.gem.wiki/Pluto_LNG_Gas_Project_(Western_Australia,_Australia)",,-20.6095798,116.7750316,exact,project level location,onshore,,Northern Carnarvon,WA-34-L
L100000324182,"PM3 CAA Oil and Gas Project (Malaysia, Vietnam)",,oil and gas,Malaysia,,conventional,operating,,2025,,,,Hibiscus Oil & Gas Malaysia,Petronas Carigali Sdn Bhd [35%]; Hibiscus Oil & Gas Malaysia Ltd [35%]; PetroVietnam Exploration Production Corporation Ltd [30%],Hibiscus Petroleum Bhd [35.0%]; Petroliam Nasional Bhd [35.0%]; PetroVietnam Exploration Production Corporation Ltd [30.0%],,"L100000320831, L100000312057, L100000320640","https://www.gem.wiki/PM3_CAA_Oil_and_Gas_Project_(Malaysia,_Vietnam)",,7.0590391,104.0178665,approximate,project level location,offshore,,,PM3 CAA; PM3-CAA
L100000324426,PM8/Seligi Oil and Gas Project (Malaysia),,oil and gas,Malaysia,,conventional,operating,,2024,,,,Enquest,Enquest PLC [50%]; Petronas Carigali Sdn Bhd [50%],Enquest PLC [50.0%]; Petroliam Nasional Bhd [50.0%],,L100000320797,https://www.gem.wiki/PM8/Seligi_Oil_and_Gas_Project_(Malaysia),,5.4617000,105.5012000,approximate,project level location,offshore,,,PM8E
L100001055766,Polok-Chinwol Oil Project (Mexico),,oil,Mexico,,,discovered,advanced,2025,2022,,,Repsol,Repsol SA [46%]; Harbour Energy PLC [25%]; Petroliam Nasional Bhd [28%],Repsol SA [46.7%]; Petroliam Nasional Bhd [28.3%]; Harbour Energy PLC [25.0%],,"L100000313919, L100000313920",https://www.gem.wiki/Polok-Chinwol_Oil_Project_(Mexico),,18.9547068,-93.9792581,exact,project level location,offshore,,Salinas-Sureste,Block 29; R02-L04-A29
L100000324537,"Prelude FLNG Gas and Condensate Project (Western Australia, Australia)",,gas and condensate,Australia,Western Australia,conventional,operating,,2025,,2011,,Shell,INPEX Corp [17%]; Overseas Petroleum and Investment Corp [5%]; Korea Gas Corp [10%]; Shell PLC [67%],Shell PLC [67.5%]; INPEX Corp [17.5%]; Korea Gas Corp [10.0%]; U.S. International Development Finance Corp [5.0%]; CPC Corporation Taiwan; Genel Energy PLC,,L100000310170,"https://www.gem.wiki/Prelude_FLNG_Gas_and_Condensate_Project_(Western_Australia,_Australia)",,-15.2539252,123.5381736,exact,project level location,offshore,,Browse,WA-44-L
L100000320693,Pre-Unayzah Gas Project (Bahrain),,gas,Bahrain,,unconventional,discovered,,2022,2018,,,Tatweer Petroleum,Tatweer Petroleum [0%],Nogaholdings,,"L100000320694, L100000320695, L100000320693",https://www.gem.wiki/Pre-Unayzah_Gas_Project_(Bahrain),,26.0329000,50.5457000,approximate,project level location,onshore,,,
L100000318599,"Priobskoye Oil Project (Khanty-Mansi Autonomous Okrug, Russia)",Приобское,oil,Russia,Khanty-Mansi Autonomous Okrug,conventional,operating,,2023,1982,,,,,,,"L100000312109, L100000318599, L100000312437","https://www.gem.wiki/Priobskoye_Oil_Project_(Khanty-Mansi_Autonomous_Okrug,_Russia)",,61.1676000,70.2191000,exact,project level location,onshore,,West Siberian,Chaprovsky; Priobsky; Prirazlomny; Sakhalinsky; Yuzhno-Priobsky; Zapadno-Erginsky
L100000313122,Prosperidade Gas Project (Mozambique),,gas,Mozambique,,conventional,discovered,,2019,2019,,,TotalEnergies,TotalEnergies SE [26%]; ENH Rovuma Área Um SA [15%]; ONGC Videsh Rovuma Ltd [10%]; Other [28%]; Mitsui E&P Mozambique Area1 Ltd [20%],Other [28.5%]; TotalEnergies SE [26.5%]; Mitsui & Co Ltd [20.0%]; Empresa Nacional de Hidrocarbonetos de Mozambique [15.0%]; Oil and Natural Gas Corporation (ONGC) [10.0%],,"L100000317119, L100000317121, L100000317123, L100000313122, L100000317120, L100000317122",https://www.gem.wiki/Prosperidade_Gas_Project_(Mozambique),,-10.7333000,40.8687000,approximate,project level location,offshore,,Rovuma,Area 1
L100000312997,"Prudhoe Bay Satellite Oil and Gas Project (Alaska, United States)",,oil and gas,United States,Alaska,,operating,,2021,,,,Hilcorp North Slope,Hilcorp Alaska LLC [26%]; Chevron Corp [1%]; ConocoPhillips Corp [36%]; Exxon Mobil Corp [36%],Exxon Mobil Corp [36.4%]; ConocoPhillips Corp [36.1%]; Chevron Corp [1.1%]; Hilcorp Energy Co,,,"https://www.gem.wiki/Prudhoe_Bay_Satellite_Oil_and_Gas_Project_(Alaska,_United_States)",,70.2222000,-148.4529000,approximate,project level location,onshore,,,
L100000312816,PSVM Oil and Gas Project (Angola),,oil and gas,Angola,,conventional,operating,,2022,,2008,2013,Azule Energy Holdings,Eni SpA [15%]; Equinor ASA [15%]; other [20%]; Sinopec International [10%]; Sonangol EP [40%],Sonangol EP [40.0%]; other [20.0%]; Eni SpA [15.0%]; Equinor ASA [15.0%]; SINOPEC [10.0%],,"L100000312781, L100000312816, L100000312793, L100000312798, L100000312803",https://www.gem.wiki/PSVM_Oil_and_Gas_Project_(Angola),,-6.1041000,10.6341000,exact,project level location,offshore,,,Block 31
L100000318957,"Qikou 18-1 Oil and Gas Project (Shandong, China)",歧口18-1,oil and gas,China,Shandong,conventional,operating,,2025,1992,,1997,CNOOC,CNOOC Ltd [100%],CNOOC Ltd [100.0%],,"L100000318955, L100000318956, L100000318957","https://www.gem.wiki/Qikou_18-1_Oil_and_Gas_Project_(Shandong,_China)",,38.6500130,117.9604660,exact,project level location,offshore,,Bohai Bay,
L100000310832,"Qinghai Oil and Gas Project (Qinghai, China)",青海,oil and gas,China,Qinghai,mixed,operating,,2025,1958,,1959,PetroChina Qinghai Oilfield,PetroChina Qinghai Oilfield Co [100%],PetroChina Co Ltd [100.0%],,"L100000310832, L100000310842, L100000310841, L100000321396, L100000321398, L100000321392, L100000321394, L100000321399, L100000321397, L100000321393","https://www.gem.wiki/Qinghai_Oil_and_Gas_Project_(Qinghai,_China)",,38.2842000,90.9099000,exact,project level location,onshore,,Qaidam,
L100000317465,Quiluma/Maboqueiro Gas Project (Angola),,gas,Angola,,conventional,operating,ramp up,2025,,2022,2025,Azule Energy Holdings,Sonangol EP [19%]; TotalEnergies SE [11%]; Azule Energy Holdings Ltd [37%]; Cabinda Gulf Oil [TO BE DELETED] Co Ltd [31%],Chevron Corp [31.0%]; Sonangol EP [19.8%]; TotalEnergies SE [11.8%]; BP PLC; Eni SpA,,"L100001081837, L100001081838",https://www.gem.wiki/Quiluma/Maboqueiro_Gas_Project_(Angola),Northern Gas Complex,-6.4551000,12.0862000,exact,project level location,offshore,,,Block 2
L100000312542,Rabab Harweel Integrated Oil and Gas Project (Oman),رباب - هرويل,oil and gas,Oman,,conventional,operating,,2024,,2013,2019,Petroleum Development Oman,Petroleum Development Oman LLC [100%],Energy Development Oman SAOC [60.0%]; Shell PLC [34.0%]; small shareholder(s) [6.0%],,L100000312542,https://www.gem.wiki/Rabab_Harweel_Integrated_Oil_and_Gas_Project_(Oman),,18.0292000,54.6425000,exact,project level location,onshore,,,Block 6
L100000312682,Reggane Nord Gas Project (Algeria),,gas,Algeria,,conventional,operating,,2021,,,2017,Groupement Reggane-Nord,Sonatrach SpA [40%]; Dea Deutsche Erdoel AG [30%]; Repsol SA [29%],Sonatrach SpA [40.0%]; Repsol SA [29.3%]; BASF SE [22.4%]; Letterone Investment Holdings SA,,"L100000312656, L100000317130, L100000317131, L100000317132, L100000317129, L100000312665, L100000312682",https://www.gem.wiki/Reggane_Nord_Gas_Project_(Algeria),Reggane,27.0202000,-0.5903000,exact,project level location,onshore,,Berkine,352c; Blocks 351c
L100000312670,Rhourde Oulad Djemma (ROD) Oil Project (Algeria),,oil,Algeria,,conventional,operating,,2021,1997,,2003,Eni,BHP [0%]; Sonatrach SpA [0%]; Eni SpA [0%],BHP Group Ltd; Eni SpA; Sonatrach SpA,,"L100000317135, L100000317133, L100000312670, L100000317134, L100000317139, L100000317140, L100000317136, L100000317137, L100000317138",https://www.gem.wiki/Rhourde_Oulad_Djemma_(ROD)_Oil_Project_(Algeria),,31.2413000,9.0450000,approximate,project level location,onshore,,,
L100000305018,"RJ-ON/6 Oil and Gas Project (Rajasthan, India)",,oil and gas,India,Rajasthan,conventional,operating,,2017,2006,,,Focus Energy,Iservices Investment Ltd [45%]; Focus Energy Ltd [7%]; Newbury Oil Co Ltd [17%]; Oil and Natural Gas Corporation Ltd [30%],Indus Gas Ltd [63.0%]; Oil and Natural Gas Corporation Ltd [30.0%]; Focus Energy Ltd [7.0%],,"L100000318252, L100001063997","https://www.gem.wiki/RJ-ON/6_Oil_and_Gas_Project_(Rajasthan,_India)",,26.5400000,73.6700000,approximate,project level location,onshore,,Rajasthan,RJ-ON/6
L100000324216,Rokan Block Oil and Gas Project (Indonesia),,oil and gas,Indonesia,,mixed,operating,,2024,1940,,,PT Pertamina Hulu Rokan,PT Pertamina Hulu Rokan [90%]; PT Riau Petroleum Rokan [10%],PT Pertamina Hulu Rokan [90.0%]; PT Riau Petroleum Rokan [10.0%],,"L100000312832, L100000312823, L100000312848",https://www.gem.wiki/Rokan_Block_Oil_and_Gas_Project_(Indonesia),,0.7700000,101.4400000,approximate,project level location,onshore,"MULTIPOLYGON (((100.683333 2.0,100.826956 1.806838,101.05294 1.686819,101.138056 1.616389,101.25442 1.358857,101.298412 1.42634,101.333333 1.364524,101.333333 1.233333,101.4 1.233333,101.4 1.15,101.416667 1.15,101.416667 1.1,101.4 1.1,101.4 0.933333,101.433333 0.933333,101.433333 0.916667,101.466667 0.916667,101.466667 0.9,101.483333 0.9,101.483333 0.833333,101.500278 0.833333,101.5 0.816667,101.516667 0.816667,101.516667 0.766667,101.55 0.766667,101.55 0.683333,101.533333 0.683333,101.533333 0.65,101.453238 0.65,101.383333 0.661944,101.391334 0.704724,101.196079 0.86943,101.09248 0.751664,101.264847 0.601455,101.259115 0.601447,101.259115 0.603109,101.253757 0.603109,101.253757 0.605902,101.245016 0.605902,101.245065 0.600318,101.230704 0.600318,101.230704 0.605862,101.219152 0.605827,101.219187 0.613078,101.208381 0.613114,101.208358 0.607177,101.197236 0.607205,101.197236 0.601294,101.19298 0.601331,101.192962 0.597535,101.174342 0.597535,101.174342 0.592916,101.156251 0.592908,101.156251 0.585774,101.149773 0.585774,101.149773 0.583068,101.130093 0.582986,101.130093 0.588808,101.086223 0.588808,101.086223 0.576416,101.066667 0.576389,101.066667 0.583333,101.004631 0.583333,101.004631 0.586614,101.0 0.586614,101.0 0.6,100.966667 0.6,100.966667 0.616667,100.835417 0.616667,100.770018 0.67806,100.85 0.75,100.85 0.733333,100.933333 0.733336,100.933333 0.716667,100.966667 0.716667,100.966667 0.7,100.983333 0.7,100.983333 0.666667,101.0 0.666667,101.0 0.65,101.033333 0.65,101.033333 0.733333,101.05 0.733333,101.05 0.85,101.016667 0.85,101.016667 0.9,100.95 0.9,100.95 0.966667,100.883333 0.966667,100.801959 1.042747,100.85 1.083333,100.916667 1.083333,100.916667 1.016667,101.05 1.016667,101.05 1.133333,101.000278 1.133333,101.0 1.2,100.85 1.2,100.7403 1.30661,100.869451 1.432431,100.771407 1.483814,100.750022 1.659353,100.659367 1.783333,100.766667 1.783333,100.766667 1.833333,100.75 1.833333,100.75 1.85,100.733333 1.85,100.733333 1.866667,100.716667 1.866667,100.716667 1.883333,100.6 1.883333,100.6 1.9,100.583333 1.9,100.583333 1.933333,100.566944 1.933333,100.566667 1.95,100.55 1.95,100.55 2.0,100.683333 2.0)),((100.483333 1.783333,100.45 1.783333,100.45 1.816667,100.483333 1.816667,100.483333 1.783333)))",,Rokan
L100000317998,Rosmari-Marjoram Gas Project (Malaysia),,gas,Malaysia,,conventional,in-development,,2025,2014,2022,,Sarawak Shell,Petronas Carigali Sdn Bhd [20%]; Shell PLC [80%],Shell PLC [80.0%]; Petroliam Nasional Bhd [20.0%],,"L100000312085, L100000312079",https://www.gem.wiki/Rosmari-Marjoram_Gas_Project_(Malaysia),,5.3393040,112.8906650,approximate,project level location,offshore,,,Block SK318
L100000321059,Rospan Oil and Gas Project (Russia),газовый проект «Роспан»,oil and gas,Russia,,,operating,,2021,,,2021,Rospan International,Rospan International JSC [100%],Rosneft PJSC [100.0%],,,https://www.gem.wiki/Rospan_Oil_and_Gas_Project_(Russia),,65.9854000,77.1646000,approximate,project level location,onshore,,Bolshoi Urengoy,
L100000324165,Ruby Oil and Gas Project (Trinidad and Tobago),,oil and gas,Trinidad and Tobago,,conventional,operating,,2025,2006,2019,2021,Perenco T&T,National Gas Company of Trinidad and Tobago Ltd [31%]; Perenco T&T [68%],Perenco SA [68.5%]; National Gas Company of Trinidad and Tobago Ltd [31.5%],,"L100000310913, L100000318406",https://www.gem.wiki/Ruby_Oil_and_Gas_Project_(Trinidad_and_Tobago),,10.7396500,-60.5307500,approximate,project level location,offshore,,,Block 3(a)
L100000312306,Rumaitha/Shanayel Oil Project (United Arab Emirates),,oil,United Arab Emirates,,conventional,operating,,2019,1964,,1984,Abu Dhabi Company for Onshore Oil Operations (ADNOC),Other [12%]; BP PLC [10%]; China National Petroleum Corp [8%]; TotalEnergies SE [10%]; Abu Dhabi National Oil Co [60%],Abu Dhabi National Oil Co [60.0%]; Other [12.0%]; BP PLC [10.0%]; TotalEnergies SE [10.0%]; China National Petroleum Corp [8.0%],,,https://www.gem.wiki/Rumaitha/Shanayel_Oil_Project_(United_Arab_Emirates),,24.0260000,54.3280000,approximate,project level location,onshore,,,
L100000319017,Sacha Oil and Gas Project (Ecuador),Activo Sacha,oil and gas,Ecuador,,conventional,operating,,2018,,,,EP Petroecuador,,,,L100000319017,https://www.gem.wiki/Sacha_Oil_and_Gas_Project_(Ecuador),,,,,,onshore,,,B60 - SACHA
L100000312455,Sakhalin-1 Oil and Gas Project (Russia),Сахалин-1,oil and gas,Russia,,conventional,operating,,2021,,,2005,Sakhalin-1,Sakhalin-1 LLC [100%],Rosneft PJSC [50.0%]; SODECO [30.0%]; Oil and Natural Gas Corporation Ltd [20.0%],,"L100000318594, L100000312454, L100000312455",https://www.gem.wiki/Sakhalin-1_Oil_and_Gas_Project_(Russia),,52.3765000,143.9549000,approximate,project level location,offshore,,Okhotsk,Odoptu-more
L100000312456,Sakhalin-2 Oil and Gas Project (Russia),Сахалин-2,oil and gas,Russia,,conventional,operating,,2023,,,1999,Sakhalinskaya Energiya,Sakhalinskaya Energiya LLC [100%],Gazprom [77.5%]; Mitsui & Co Ltd [12.5%]; Mitsubishi Corp [10.0%],,"L100000312456, L100000312118, L100000312119",https://www.gem.wiki/Sakhalin-2_Oil_and_Gas_Project_(Russia),,53.0833000,143.7920000,approximate,project level location,offshore,,Okhotsk,Lunsky (Sakhalin-2); Piltun-Astokhsky (Sakhalin-2)
L100000324723,"Salamanca Oil and Gas Project (Federal Offshore, United States)",,oil and gas,United States,Federal Offshore,conventional,operating,ramp up,2025,,,2025,LLOG Exploration Offshore,LLOG Exploration Offshore LLC; Beacon Offshore Energy; Repsol SA [2%],Repsol SA [2.5%]; Blackstone Energy Partners; LLOG Exploration Offshore LLC,,"L100000319532, L100000319540","https://www.gem.wiki/Salamanca_Oil_and_Gas_Project_(Federal_Offshore,_United_States)",,26.2889000,-92.6458500,approximate,project level location,offshore,,,KC642; KC736
L100000318121,Salam-Patawali Oil and Gas Project (Malaysia),,oil and gas,Malaysia,,conventional,discovered,,2024,2018,,,ConocoPhillips,ConocoPhillips Corp [50%]; Petroliam Nasional Bhd [50%],ConocoPhillips Corp [50.0%]; Petroliam Nasional Bhd [50.0%],,L100000318121,https://www.gem.wiki/Salam-Patawali_Oil_and_Gas_Project_(Malaysia),,4.2012000,111.7643000,exact,project level location,offshore,,,WL4-00
L100000318581,"Salymsky Oil Project (Khanty-Mansi Autonomous Okrug, Russia)",Салымский проект,oil,Russia,Khanty-Mansi Autonomous Okrug,conventional,operating,,2020,,,,Salym Petroleum Development,Salym Petroleum Development LLC [100%],Gazprom [95.7%],,"L100000318581, L100000312110, L100000312501, L100000312584","https://www.gem.wiki/Salymsky_Oil_Project_(Khanty-Mansi_Autonomous_Okrug,_Russia)",Salym project,60.4506000,70.8822000,approximate,project level location,onshore,,West Siberian,Verkhne-Salymskoye; Zapadno-Salymsky
L100001062766,Sampang Block Oil and Gas Project (Indonesia),,oil and gas,Indonesia,,conventional,operating,,2024,,,,MedcoEnergi Sampang,Cue Sampang Energy Pty Ltd [15%]; Singapore Petroleum Co Ltd [40%]; MedcoEnergi Sampang Pty Ltd [45%],MedcoEnergi Sampang Pty Ltd [45.0%]; PetroChina Co Ltd [40.0%]; Cue Sampang Energy Pty Ltd [15.0%],,L100000312891,https://www.gem.wiki/Sampang_Block_Oil_and_Gas_Project_(Indonesia),,-7.2999,113.4553,approximate,location derived from fields,offshore,"MULTIPOLYGON (((113.129881 -7.351242,113.089297 -7.396128,113.065833 -7.4025,113.05 -7.425728,113.0 -7.425728,113.0 -7.416667,113.033333 -7.416667,113.033333 -7.383333,113.0 -7.383333,112.933333 -7.4,112.933333 -7.416667,112.9 -7.416667,112.9 -7.433333,112.863611 -7.433333,112.863611 -7.37425,112.884656 -7.374153,112.884656 -7.369461,112.911617 -7.369461,112.911617 -7.359486,112.920531 -7.359486,113.01045 -7.359069,113.01045 -7.328258,112.992839 -7.328447,112.992839 -7.314678,113.011486 -7.295853,113.111222 -7.295425,113.111269 -7.304303,113.129658 -7.304303,113.129881 -7.351242)),((113.427333 -7.233333,113.427333 -7.312975,113.355556 -7.312869,113.333333 -7.331208,113.318719 -7.331208,113.263917 -7.295814,113.209494 -7.260708,113.209494 -7.233333,113.427333 -7.233333)),((113.743869 -7.297714,113.743869 -7.305833,113.717222 -7.305833,113.717222 -7.320128,113.644444 -7.320128,113.644444 -7.335169,113.580833 -7.335169,113.580833 -7.302617,113.643128 -7.302617,113.643128 -7.283333,113.683333 -7.283333,113.683333 -7.297714,113.743869 -7.297714)),((113.877222 -7.32825,113.877222 -7.351217,113.853639 -7.350667,113.853639 -7.351217,113.853417 -7.346031,113.834797 -7.346031,113.834831 -7.341183,113.825614 -7.341183,113.825614 -7.324022,113.852856 -7.324022,113.852856 -7.32825,113.877222 -7.32825)))",,Sampang
